idle_start_time,idle_end_time,idle_duration_hr,idle_start_time_mdt,idle_end_time_mdt,idle_start_hour_mdt,timestamp,idle_start_hour,week_start_date,week_number,week_end_date,lat,lon
2025-05-08 00:44:15+00:00,2025-05-08 00:55:48+00:00,0.1925,2025-05-07 18:44:15-06:00,2025-05-07 18:55:48-06:00,18.916666666666668,2025-05-07 18:44:15.000,18,2025-05-06,1,2025-05-12,50.9021916,-114.067445
2025-05-08 01:06:07+00:00,2025-05-08 02:03:30.010000+00:00,0.9563916666666668,2025-05-07 19:06:07-06:00,2025-05-07 20:03:30.010000-06:00,19.05,2025-05-07 19:06:07.000,19,2025-05-06,1,2025-05-12,50.8591116,-114.0102166
2025-05-08 02:21:39+00:00,2025-05-08 02:27:57.010000+00:00,0.1050027777777777,2025-05-07 20:21:39-06:00,2025-05-07 20:27:57.010000-06:00,20.45,2025-05-07 20:21:39.000,20,2025-05-06,1,2025-05-12,50.94463,-114.1278866
2025-05-08 02:29:56.010000+00:00,2025-05-08 13:51:49+00:00,11.364719444444445,2025-05-07 20:29:56.010000-06:00,2025-05-08 07:51:49-06:00,20.85,2025-05-07 20:29:56.010,20,2025-05-06,1,2025-05-12,50.9446566,-114.1283733
2025-05-08 14:19:32.010000+00:00,2025-05-08 14:45:09+00:00,0.4269416666666666,2025-05-08 08:19:32.010000-06:00,2025-05-08 08:45:09-06:00,8.75,2025-05-08 08:19:32.010,8,2025-05-06,1,2025-05-12,51.0382683,-114.1400783
2025-05-08 15:09:30+00:00,2025-05-08 15:16:45.010000+00:00,0.1208361111111111,2025-05-08 09:09:30-06:00,2025-05-08 09:16:45.010000-06:00,9.266666666666667,2025-05-08 09:09:30.000,9,2025-05-06,1,2025-05-12,51.0600549,-114.0002783
2025-05-08 15:38:23+00:00,2025-05-08 15:39:57.010000+00:00,0.0261138888888888,2025-05-08 09:38:23-06:00,2025-05-08 09:39:57.010000-06:00,9.65,2025-05-08 09:38:23.000,9,2025-05-06,1,2025-05-12,50.98986,-114.0446083
2025-05-08 15:51:58.010000+00:00,2025-05-08 16:00:09.020000+00:00,0.1363916666666666,2025-05-08 09:51:58.010000-06:00,2025-05-08 10:00:09.020000-06:00,9.0,2025-05-08 09:51:58.010,9,2025-05-06,1,2025-05-12,50.9503083,-114.00207
2025-05-08 16:01:23+00:00,2025-05-08 16:06:49+00:00,0.0905555555555555,2025-05-08 10:01:23-06:00,2025-05-08 10:06:49-06:00,10.1,2025-05-08 10:01:23.000,10,2025-05-06,1,2025-05-12,50.9504983,-114.0020533
2025-05-08 16:14:47+00:00,2025-05-08 17:10:54.010000+00:00,0.9352805555555556,2025-05-08 10:14:47-06:00,2025-05-08 11:10:54.010000-06:00,10.166666666666666,2025-05-08 10:14:47.000,10,2025-05-06,1,2025-05-12,50.9403166,-113.9735066
2025-05-08 17:32:01+00:00,2025-05-09 00:16:58+00:00,6.7491666666666665,2025-05-08 11:32:01-06:00,2025-05-08 18:16:58-06:00,11.266666666666667,2025-05-08 11:32:01.000,11,2025-05-06,1,2025-05-12,50.9446499,-114.1283383
2025-05-09 00:18:03.010000+00:00,2025-05-09 14:09:24.010000+00:00,13.855833333333331,2025-05-08 18:18:03.010000-06:00,2025-05-09 08:09:24.010000-06:00,18.15,2025-05-08 18:18:03.010,18,2025-05-06,1,2025-05-12,50.9446166,-114.1283433
2025-05-09 14:14:27+00:00,2025-05-09 14:14:46.010000+00:00,0.0052805555555555,2025-05-09 08:14:27-06:00,2025-05-09 08:14:46.010000-06:00,8.233333333333333,2025-05-09 08:14:27.000,8,2025-05-06,1,2025-05-12,50.9409066,-114.1210366
2025-05-09 14:41:06+00:00,2025-05-09 15:39:22.010000+00:00,0.9711138888888888,2025-05-09 08:41:06-06:00,2025-05-09 09:39:22.010000-06:00,8.65,2025-05-09 08:41:06.000,8,2025-05-06,1,2025-05-12,51.1194599,-114.1846883
2025-05-09 16:04:09+00:00,2025-05-09 16:18:58+00:00,0.2469444444444444,2025-05-09 10:04:09-06:00,2025-05-09 10:18:58-06:00,10.3,2025-05-09 10:04:09.000,10,2025-05-06,1,2025-05-12,51.1167399,-114.2477866
2025-05-09 16:23:24.010000+00:00,2025-05-09 16:55:25.010000+00:00,0.5336111111111111,2025-05-09 10:23:24.010000-06:00,2025-05-09 10:55:25.010000-06:00,10.916666666666666,2025-05-09 10:23:24.010,10,2025-05-06,1,2025-05-12,51.1191766,-114.2452866
2025-05-09 17:14:26+00:00,2025-05-09 17:32:02.010000+00:00,0.2933361111111111,2025-05-09 11:14:26-06:00,2025-05-09 11:32:02.010000-06:00,11.533333333333331,2025-05-09 11:14:26.000,11,2025-05-06,1,2025-05-12,51.0858833,-114.1577733
2025-05-09 17:50:41+00:00,2025-05-09 18:08:00+00:00,0.2886111111111111,2025-05-09 11:50:41-06:00,2025-05-09 12:08:00-06:00,11.133333333333333,2025-05-09 11:50:41.000,11,2025-05-06,1,2025-05-12,50.9855483,-114.0904233
2025-05-09 18:21:16.010000+00:00,2025-05-09 18:33:56+00:00,0.2111083333333333,2025-05-09 12:21:16.010000-06:00,2025-05-09 12:33:56-06:00,12.55,2025-05-09 12:21:16.010,12,2025-05-06,1,2025-05-12,50.9446133,-114.1284866
2025-05-09 18:37:51+00:00,2025-05-09 20:53:52.010000+00:00,2.2669472222222224,2025-05-09 12:37:51-06:00,2025-05-09 14:53:52.010000-06:00,12.883333333333333,2025-05-09 12:37:51.000,12,2025-05-06,1,2025-05-12,50.9404533,-114.1214216
2025-05-09 20:57:21+00:00,2025-05-09 22:40:36.010000+00:00,1.7208361111111112,2025-05-09 14:57:21-06:00,2025-05-09 16:40:36.010000-06:00,14.666666666666666,2025-05-09 14:57:21.000,14,2025-05-06,1,2025-05-12,50.9446633,-114.12834
2025-05-09 22:51:39.010000+00:00,2025-05-09 23:45:25.010000+00:00,0.8961111111111111,2025-05-09 16:51:39.010000-06:00,2025-05-09 17:45:25.010000-06:00,16.75,2025-05-09 16:51:39.010,16,2025-05-06,1,2025-05-12,50.9193616,-114.1151283
2025-05-09 23:53:49.010000+00:00,2025-05-09 23:59:42+00:00,0.0980527777777777,2025-05-09 17:53:49.010000-06:00,2025-05-09 17:59:42-06:00,17.983333333333334,2025-05-09 17:53:49.010,17,2025-05-06,1,2025-05-12,50.9410049,-114.120585
2025-05-10 00:03:17.010000+00:00,2025-05-12 15:09:48+00:00,63.10860833333333,2025-05-09 18:03:17.010000-06:00,2025-05-12 09:09:48-06:00,18.15,2025-05-09 18:03:17.010,18,2025-05-06,1,2025-05-12,50.9446499,-114.1282166
2025-05-12 15:20:22.010000+00:00,2025-05-12 15:26:54.010000+00:00,0.1088888888888888,2025-05-12 09:20:22.010000-06:00,2025-05-12 09:26:54.010000-06:00,9.433333333333334,2025-05-12 09:20:22.010,9,2025-05-06,1,2025-05-12,50.9739533,-114.0985783
2025-05-12 15:28:43+00:00,2025-05-12 16:07:24.010000+00:00,0.6447250000000001,2025-05-12 09:28:43-06:00,2025-05-12 10:07:24.010000-06:00,9.116666666666667,2025-05-12 09:28:43.000,9,2025-05-06,1,2025-05-12,50.9736666,-114.09858
2025-05-12 16:30:38+00:00,2025-05-12 17:12:55.010000+00:00,0.704725,2025-05-12 10:30:38-06:00,2025-05-12 11:12:55.010000-06:00,10.2,2025-05-12 10:30:38.000,10,2025-05-06,1,2025-05-12,51.1417166,-114.1847883
2025-05-12 17:14:13.010000+00:00,2025-05-12 17:18:13.010000+00:00,0.0666666666666666,2025-05-12 11:14:13.010000-06:00,2025-05-12 11:18:13.010000-06:00,11.3,2025-05-12 11:14:13.010,11,2025-05-06,1,2025-05-12,51.14143,-114.1841083
2025-05-12 17:53:00+00:00,2025-05-12 17:59:33+00:00,0.1091666666666666,2025-05-12 11:53:00-06:00,2025-05-12 11:59:33-06:00,11.983333333333333,2025-05-12 11:53:00.000,11,2025-05-06,1,2025-05-12,51.0373683,-113.9589433
2025-05-12 18:20:02+00:00,2025-05-12 18:21:58.010000+00:00,0.032225,2025-05-12 12:20:02-06:00,2025-05-12 12:21:58.010000-06:00,12.35,2025-05-12 12:20:02.000,12,2025-05-06,1,2025-05-12,50.9923533,-114.0501566
2025-05-12 18:24:20+00:00,2025-05-12 18:26:58+00:00,0.0438888888888888,2025-05-12 12:24:20-06:00,2025-05-12 12:26:58-06:00,12.433333333333334,2025-05-12 12:24:20.000,12,2025-05-06,1,2025-05-12,50.991205,-114.0509066
2025-05-12 18:35:39.010000+00:00,2025-05-12 19:19:13.010000+00:00,0.7261111111111112,2025-05-12 12:35:39.010000-06:00,2025-05-12 13:19:13.010000-06:00,12.316666666666666,2025-05-12 12:35:39.010,12,2025-05-06,1,2025-05-12,50.9779216,-114.0476066
2025-05-12 19:32:30+00:00,2025-05-12 20:31:56+00:00,0.9905555555555556,2025-05-12 13:32:30-06:00,2025-05-12 14:31:56-06:00,13.516666666666667,2025-05-12 13:32:30.000,13,2025-05-06,1,2025-05-12,51.0033283,-114.10371
2025-05-12 20:40:58+00:00,2025-05-12 20:44:32.010000+00:00,0.0594472222222222,2025-05-12 14:40:58-06:00,2025-05-12 14:44:32.010000-06:00,14.733333333333333,2025-05-12 14:40:58.000,14,2025-05-06,1,2025-05-12,50.98578,-114.0904633
2025-05-12 20:50:54+00:00,2025-05-12 21:33:11+00:00,0.7047222222222222,2025-05-12 14:50:54-06:00,2025-05-12 15:33:11-06:00,14.55,2025-05-12 14:50:54.000,14,2025-05-06,1,2025-05-12,50.9850733,-114.0708266
2025-05-12 21:51:17.010000+00:00,2025-05-13 00:04:17.020000+00:00,2.2166694444444444,2025-05-12 15:51:17.010000-06:00,2025-05-12 18:04:17.020000-06:00,15.066666666666666,2025-05-12 15:51:17.010,15,2025-05-06,1,2025-05-12,50.944695,-114.128275
2025-05-13 00:06:08+00:00,2025-05-13 14:48:32.010000+00:00,14.706669444444444,2025-05-12 18:06:08-06:00,2025-05-13 08:48:32.010000-06:00,18.8,2025-05-12 18:06:08.000,18,2025-05-06,1,2025-05-12,50.944695,-114.12827
2025-05-13 15:11:41+00:00,2025-05-13 15:44:00.010000+00:00,0.5386138888888888,2025-05-13 09:11:41-06:00,2025-05-13 09:44:00.010000-06:00,9.733333333333333,2025-05-13 09:11:41.000,9,2025-05-13,2,2025-05-19,51.0509133,-114.1342733
2025-05-13 16:23:23+00:00,2025-05-13 16:24:30.010000+00:00,0.0186138888888888,2025-05-13 10:23:23-06:00,2025-05-13 10:24:30.010000-06:00,10.4,2025-05-13 10:23:23.000,10,2025-05-13,2,2025-05-19,51.162195,-113.955635
2025-05-13 16:26:20.010000+00:00,2025-05-13 17:04:03.010000+00:00,0.6286111111111111,2025-05-13 10:26:20.010000-06:00,2025-05-13 11:04:03.010000-06:00,10.066666666666666,2025-05-13 10:26:20.010,10,2025-05-13,2,2025-05-19,51.1621383,-113.9557733
2025-05-13 17:05:10.010000+00:00,2025-05-13 18:20:47.020000+00:00,1.2602805555555556,2025-05-13 11:05:10.010000-06:00,2025-05-13 12:20:47.020000-06:00,11.333333333333334,2025-05-13 11:05:10.010,11,2025-05-13,2,2025-05-19,51.1621016,-113.9558566
2025-05-13 18:27:45.010000+00:00,2025-05-13 18:51:09.010000+00:00,0.39,2025-05-13 12:27:45.010000-06:00,2025-05-13 12:51:09.010000-06:00,12.85,2025-05-13 12:27:45.010,12,2025-05-13,2,2025-05-19,51.1455449,-113.966435
2025-05-13 19:10:30.010000+00:00,2025-05-13 19:47:17.010000+00:00,0.6130555555555556,2025-05-13 13:10:30.010000-06:00,2025-05-13 13:47:17.010000-06:00,13.783333333333331,2025-05-13 13:10:30.010,13,2025-05-13,2,2025-05-19,51.18191,-114.1583883
2025-05-13 20:20:18.010000+00:00,2025-05-13 20:36:10+00:00,0.2644416666666667,2025-05-13 14:20:18.010000-06:00,2025-05-13 14:36:10-06:00,14.6,2025-05-13 14:20:18.010,14,2025-05-13,2,2025-05-19,50.9853083,-114.082485
2025-05-13 20:40:11+00:00,2025-05-13 20:42:02.010000+00:00,0.0308361111111111,2025-05-13 14:40:11-06:00,2025-05-13 14:42:02.010000-06:00,14.7,2025-05-13 14:40:11.000,14,2025-05-13,2,2025-05-19,50.9856,-114.0903583
2025-05-13 21:15:21+00:00,2025-05-13 21:43:15+00:00,0.465,2025-05-13 15:15:21-06:00,2025-05-13 15:43:15-06:00,15.716666666666669,2025-05-13 15:15:21.000,15,2025-05-13,2,2025-05-19,50.9876066,-114.0279866
2025-05-13 22:05:13+00:00,2025-05-13 22:27:17+00:00,0.3677777777777777,2025-05-13 16:05:13-06:00,2025-05-13 16:27:17-06:00,16.45,2025-05-13 16:05:13.000,16,2025-05-13,2,2025-05-19,51.0314283,-114.0677633
2025-05-13 22:48:52+00:00,2025-05-13 23:24:53.010000+00:00,0.6002805555555556,2025-05-13 16:48:52-06:00,2025-05-13 17:24:53.010000-06:00,16.4,2025-05-13 16:48:52.000,16,2025-05-13,2,2025-05-19,51.0516733,-114.0539483
2025-05-13 23:53:46+00:00,2025-05-14 13:43:08+00:00,13.822777777777778,2025-05-13 17:53:46-06:00,2025-05-14 07:43:08-06:00,17.716666666666665,2025-05-13 17:53:46.000,17,2025-05-13,2,2025-05-19,50.9446383,-114.128275
2025-05-14 13:57:09+00:00,2025-05-14 14:01:08.010000+00:00,0.0663916666666666,2025-05-14 07:57:09-06:00,2025-05-14 08:01:08.010000-06:00,7.016666666666667,2025-05-14 07:57:09.000,7,2025-05-13,2,2025-05-19,50.9855733,-114.090435
2025-05-14 14:23:18+00:00,2025-05-14 14:51:34+00:00,0.4711111111111111,2025-05-14 08:23:18-06:00,2025-05-14 08:51:34-06:00,8.85,2025-05-14 08:23:18.000,8,2025-05-13,2,2025-05-19,50.87898,-114.08497
2025-05-14 14:53:03+00:00,2025-05-14 14:54:57.010000+00:00,0.0316694444444444,2025-05-14 08:53:03-06:00,2025-05-14 08:54:57.010000-06:00,8.9,2025-05-14 08:53:03.000,8,2025-05-13,2,2025-05-19,50.8789366,-114.0858883
2025-05-14 15:03:57.010000+00:00,2025-05-14 15:34:33+00:00,0.5099972222222222,2025-05-14 09:03:57.010000-06:00,2025-05-14 09:34:33-06:00,9.566666666666666,2025-05-14 09:03:57.010,9,2025-05-13,2,2025-05-19,50.86492,-114.038765
